"search_phrase","count","Explict"
"[PRNHUB.COM","2","1"
"2 GIRLS ONE CUP","2","1"
"321 SEXCHAT","2","1"
"A DICK TOO BIG FOR GRANNY","2","1"
"ACCIDENTALLY CREAMPIE","2","1"
"ADULT CHAT ROOMS","2","1"
"ADULT TOYS FOR MEN","2","1"
"ADULT TUBE VIDEOS","2","1"
"ADULTDVDEMPIRE","2","1"
"ADULTGAMES","2","1"
"ADULTSEARCH","2","1"
"ADULTTIME","2","1"
"ADULTTIME.COM","2","1"
"ALINITY ONLYFANS","2","1"
"ALLGIRLMASSAGE","2","1"
"AMATEUR CUMSHOTS","2","1"
"AMATEUR HANDJOBS","2","1"
"AMATEUR ORGY","2","1"
"AMATURE SWINGERS","2","1"
"ANIME BOOB","2","1"
"ANIME COWGIRL","2","1"
"ANIME DICK","2","1"
"ANIME FEET","2","1"
"ANIME HALF MONSTER GIRL","2","1"
"ANIMEIDHENTAI","2","1"
"ANIMOPRON","2","1"
"ASIAN CUNT","2","1"
"ASIAN DOLL TWERK","2","1"
"ASIAN MASSAGE HAPPY ENDING","2","1"
"ASIAN SLURS","2","1"
"ASSHOLES","2","1"
"AUSTINWHITE ONLYFANS","2","1"
"AVERAGE DICK SIZE","2","1"
"AWKWARD MASSAGE BONER","2","1"
"BADDIEHUB COM","2","1"
"BADDIEHUB.COM","2","1"
"BANGBROSBLACKPORN","2","1"
"BBC CUCKOLD","2","1"
"BBW MEANING","2","1"
"BBW PANTYHOSE","2","1"
"BBW TEENS","2","1"
"BBW THREESOME","2","1"
"BBWC","2","1"
"BDSMTEST","2","1"
"BEAUTIFUL MATURE OLDER WOMEN","2","1"
"BEST BLOW JOB","2","1"
"BEST DICK SUCKER IN THE WORLD","2","1"
"BEST GORE","2","1"
"BESTGORE","2","1"
"BIG BOOB TAN MILFS","2","1"
"BIG BOOBIES","2","1"
"BIG BOOTY LATINA","2","1"
"BIG BOOTY LATINAS","2","1"
"BIG DICK SHEMALE","2","1"
"BIG TIT WOMEN","2","1"
"BIG WHITE DICK","2","1"
"BIGGEST DICK","2","1"
"BITCHES","2","1"
"BLACK MOM IN BIKINI","2","1"
"BLACK WOMEN","2","1"
"BLACKED BOORU","2","1"
"BLACKED CHEATING","2","1"
"BLACKED.COM","2","1"
"BLACKEDRAW.COM","2","1"
"BLACKSONBLONDES","2","1"
"BLONDES","2","1"
"BOOBA SHOW","2","1"
"BOOBES","2","1"
"BOOBIESS NO BRA","2","1"
"BOOTY UCBCB 1","2","1"
"BOOTYLICIOUS MEANING","2","1"
"BRAZZERS.COM","2","1"
"BREED","2","1"
"BREED ME","2","1"
"BREEDING","2","1"
"BREEDING KINK","2","1"
